Iin,Nom,C0,C1,C2,C3
2.00E-08,1432472.791,1742446.462,1659054.251,1259231.596,1271913.223
1.20E-07,8093914.39,8680311.183,9224360.479,7263629.409,7524501.798
2.20E-07,14680201.22,15609771.48,16525479.44,13262130.98,13715133.64
3.20E-07,21274218.34,22550165.66,23788955.9,19316141.27,20006254.17
4.20E-07,27898731.85,29499049.19,31039795.52,25420184.02,26368368.32
5.20E-07,34545962.41,36460937.8,38293619.2,31542449.51,32787812.53
6.20E-07,41215982.6,43429911.81,45556452.99,37709026.39,39226246.19
7.20E-07,47925592.44,50410811.41,52825986.03,43897619.25,45695130.83
8.20E-07,54651075.26,57417052.4,60098894.47,50127426.25,52211503.25
9.20E-07,61412178.82,64449993.79,67397379.32,56443300.42,58754271.29
1.02E-06,68197571.49,71490612.73,74703650.14,62748851.56,65302093.82
1.12E-06,75022849.38,78582819.78,82039570.44,69103972.04,71854914.65
1.22E-06,81861571.69,85673709.45,89386690.35,75468190.56,78423760.41
1.32E-06,88753698.72,92798448.04,96725103.98,81877818.46,85041433.29
1.42E-06,95643201.78,99947217.72,104116313.6,88339361.09,91636073.97
1.52E-06,102524349.5,107134057.4,111548429.4,94809502.08,98272498.9
1.62E-06,109476248.2,114344221.6,118906998.2,101336708,104887340.9
1.72E-06,116395492.6,121568226.2,126253725.9,107903641.7,111519803.5
1.82E-06,123355044.3,128828178.9,133687680,114483780,118181970.4
1.92E-06,130394625.2,136107524.6,141076340.4,121067665.6,124844077.2
2.02E-06,137536929.3,143434380.4,148487167.8,127734565,131526396.3
2.12E-06,144553968.2,150795737.7,155934076.2,134396449.8,138232199.7
2.22E-06,151614441.6,158168990,163358842.9,141095944,144901009.2
2.32E-06,158725923.7,165586721.1,170851349.2,147832024.8,151592556.1
2.42E-06,165881040.3,173035687.5,178362364.3,154550127,158295045.7
2.52E-06,173078507.2,180491393.4,185860968,161317113.5,165071827.2
2.62E-06,180295839.8,187948145.9,193377481.3,168116647.7,171829348.7
2.72E-06,187422903,195461181,200849585.7,174936804,178624452.3
2.82E-06,194566279.9,202979199,208374168,181781484.5,185382957.8
2.92E-06,201887529.5,210518069.4,215916310.5,188631623.7,192165189.3
3.02E-06,209032802.5,218067196.5,223416322.1,195514516.6,198904577
3.12E-06,216271409.3,225648161.9,230912193.7,202410364.6,205712781.6
3.22E-06,223516591.7,233259669.2,238481453.9,209364765.1,212455238.2
3.32E-06,230742435.2,240873819.5,246037347.2,216318281.3,219268345.1
3.42E-06,237985704.6,248506694.7,253564103.1,223275723.7,226128968.5
3.52E-06,245225265.4,256151433,261161545.3,230380520.2,232949040.9
3.62E-06,252523868.1,263824788.2,268677693.9,237373077.1,239798623
3.72E-06,259860665.3,271526647.5,276278975,244323306.2,246630401.9
3.82E-06,267205238.4,279220234,283866500,251384564.9,253481454.2
3.92E-06,274563784.9,286852775.9,291422757.5,258436184.4,260278885.5
4.02E-06,281848629.5,294721921.1,299010146.5,265549426,267149078.9
4.12E-06,289134147.8,302416109.4,306612436.6,272608005.1,273926761.6
4.22E-06,296554577.6,310019922,314377093.9,279680036.4,280800959.5
4.32E-06,303930098,317730644,321987202,286832877,287646449.2
4.42E-06,311182978.1,325504902.8,329557049.7,293962539.3,294513032.1
4.52E-06,318560352.2,333193862.1,337167648.5,301074974.9,301463994
4.62E-06,325972789.4,340977506.5,344820616,308183554.8,308387139.7
4.72E-06,333375038.9,348551148.3,352302470.7,315351229.3,315233876.6
4.82E-06,340750675.8,356221911.4,360005143.8,322503544.3,322160834.2
4.92E-06,348112237.3,363938904.7,367768965.8,329656128.1,329039047.4
5.02E-06,355472939.3,371663943,375206227.8,336804709.4,336113030.2
5.12E-06,362801488.8,379519476.1,382761489.7,343971460.5,342904032.6
5.22E-06,370274034,387116693.2,390195031.7,351155424.6,349822404.1
5.32E-06,377638868.1,395064333,398184658.3,358358116.8,356771095.7
5.42E-06,385078878.8,402867964.8,405823731.6,365590455.5,363714946
5.52E-06,392521976.4,410478897.7,413619317.9,372832822.5,370788509
5.62E-06,399929789.4,418319439.6,421133506.7,380060383,377685124.4
5.72E-06,407316207.6,426016020.9,428720322.7,387292899.9,384747325.4
5.82E-06,414715493.6,433697367.7,436323938.9,394484572.9,391703562.7
5.92E-06,422096172.5,441421627.6,443956389.8,401702200.4,398654411.7
6.02E-06,429520769.7,449140525.9,451386713.6,408900999.9,405702936.3
6.12E-06,436920500,456826882.9,459504742.4,416172931.8,412819921.7
6.22E-06,444324216.7,464465841.1,467101500.5,423386572.7,419640582.2
6.32E-06,451719485,472319586.1,474048531.2,430660456.2,426625524.9
6.42E-06,459119590.3,479953096.3,481609115,437951599.8,433605496.4
6.52E-06,466581620.6,487664186.7,489240892.2,445107255.2,440624678.3
6.62E-06,474175566,495468177.3,496859254.7,452329897.6,447683044.8
6.72E-06,481532027.9,503196270.4,504378308.8,459601635.9,454654749.8
6.82E-06,488875699.4,510720810.4,511836331,467018552.4,461668786.1
6.92E-06,496287675.2,518428784.4,519394030.3,474174613.4,468713556.9
7.02E-06,503738491.2,526011571.3,526933652.7,481488129.1,475754832.6
7.12E-06,511139635.4,533651668.4,534488800,488499816,482790676.5
7.22E-06,518523409.9,541109761.8,542094696.3,495864425.2,489861423.6
7.32E-06,525960787,548975260.6,549519289.7,503135465.5,496842215.2
7.42E-06,533314963.8,556571480.9,556985677.7,510297556.9,503934348.6
7.52E-06,540622593.7,564150292.3,564442047.3,517605070.2,510951864.3
7.62E-06,547957609.6,571741013.9,571966697.9,524785479.9,517982864.1
7.72E-06,555304548.7,579313406.6,579329588,531930173,525046810.3
7.82E-06,562648366.6,586929817.2,586867023.7,539212649.7,532125715.4
7.92E-06,570018455.2,594492821.9,594325907.3,546604252.1,539193527.2
8.02E-06,577450131.9,601948524.6,601784362.4,553763247.4,546275314.2
8.12E-06,584772151.4,609527848.4,609286820,561048806.1,553306746.8
8.22E-06,592155953,617047100,616694676,568256226.4,560444411.9
8.32E-06,599721695.5,624546610.2,624142134.3,575469562,567457726.9
8.42E-06,607048190.9,631996940.1,631612570.1,582731506.7,574542648.1
8.52E-06,614149418.4,639476707.7,639539728.9,590038264.9,581595891.9
8.62E-06,621456062.8,646872424.6,646847570.9,596983666.9,588688618.5
8.72E-06,628587393.2,654269348.7,654132772.4,604208657.6,595798389.4
8.82E-06,635911653.1,661730622.5,661312985.7,611322973.2,602874027.6
8.92E-06,643214800.8,669052562.7,668941629.9,618471285.3,610001950.7
9.02E-06,650447474,676662762.2,675848512,625592102,617032702.1
9.12E-06,657783205.5,683877391,683504096.9,632775103.2,624161796.3
9.22E-06,665043768.2,691019256.5,690449531,639759378.9,631290201.7
9.32E-06,672276833.8,698386313.4,697811931.5,647235077.6,638408000.8
9.42E-06,679409632.2,705622545,705331201.5,654442367.4,645496430.9
9.52E-06,686815722.7,712857773.1,712334520.1,661511285.4,652584355.8
9.62E-06,694127616.9,720083079.2,719593486.5,668682297,659812569.1
9.72E-06,701310858.6,727267569.8,726819292.2,675891700.4,666759525
9.82E-06,708777979.1,734316701.2,733969810.6,683163355.2,673834601.9
9.92E-06,715723661.2,741615339.2,741198570.3,690066811.7,680956095.7
