Iinput,delay
0,7.62514394892896E-08
0.0000004,8.22998616939412E-08
0.0000008,8.693090515233E-08
0.0000012,9.09372028075314E-08
0.0000016,9.48894568029708E-08
0.000002,9.84140317728597E-08
0.0000024,1.01943333767395E-07
0.0000028,1.05458499457532E-07
0.0000032,1.09170693035513E-07
0.0000036,1.1286845423679E-07
0.000004,1.1664607469544E-07
0.0000044,1.20556805172768E-07
0.0000048,1.24525217518183E-07
0.0000052,1.29340025291871E-07
0.0000056,1.33444414534495E-07
0.000006,1.37583512974333E-07
0.0000064,1.42074729921857E-07
0.0000068,1.46307182094142E-07
0.0000072,1.50738532315688E-07
0.0000076,1.55129733608217E-07
0.000008,1.60034026961342E-07
0.0000084,1.64302956129855E-07
0.0000088,1.68747474865774E-07
0.0000092,1.73440271259432E-07
0.0000096,1.77792708317435E-07
0.00001,1.82435077818918E-07
