Iin,Freq
1.06E-07,18942587.29
1.91E-07,34328881.98
2.77E-07,49808010.09
3.62E-07,65506920.58
4.48E-07,81433348.72
5.33E-07,97502188.73
6.19E-07,113692718.5
7.04E-07,130023978.3
7.90E-07,146485002.1
8.75E-07,163014689.5
9.61E-07,179610450.9
1.05E-06,196165022.5
1.13E-06,212758100.1
1.22E-06,229303111.2
1.30E-06,245827229.2
1.39E-06,262357285.9
1.47E-06,278887812.2
1.56E-06,295279845.8
1.64E-06,311516154.3
1.73E-06,327672948.9
1.82E-06,343687905.6
1.90E-06,359568829.2
1.99E-06,375329968.1
2.07E-06,391060627
2.16E-06,406557495.1
2.24E-06,421871837.5
2.33E-06,437090994.9
2.41E-06,452283133.7
2.50E-06,467263693
  ,  
