INPUT I,FF,,FS,,SF,,SS,,TT
2.00E-08,1948314.525,,2802427.721,,3819324.152,,3612582.751,,3253159.581
2.58E-08,2746843.996,,3603964.297,,4992045.451,,4717459.766,,4267069.26
3.32E-08,3567500.349,,4760303.211,,6573009.407,,6463650.068,,5492986.728
4.29E-08,4848702.233,,6198118.025,,8259717.291,,8760879.541,,6998861.478
5.53E-08,6570834.516,,8040655.103,,10397902.06,,11604028.2,,8894964.041
7.13E-08,8531840.913,,10396353.61,,13074805.81,,14816830.77,,11361543.32
9.19E-08,11217337.9,,13461587.91,,16484427.91,,18718274.58,,14575342.39
1.18E-07,14854540.04,,17488871.57,,20907287.7,,22910501.53,,18747329.23
1.53E-07,19803843.43,,22781349.54,,26575889.67,,28805744.32,,24202373.26
1.97E-07,26521297.8,,29764267.82,,33858006.81,,36452255.13,,31323930.96
2.54E-07,35586826.91,,39066954.81,,43301449.74,,46284365.32,,40718987.74
3.27E-07,47862138.92,,51467777.97,,55562368.34,,58954853.62,,53093819.89
4.22E-07,64434522.69,,67956950.91,,71510376.06,,75219763.98,,69395256.9
5.44E-07,86673502.33,,90058563.08,,92350385.14,,96169052.2,,90941522.6
7.02E-07,116589762.8,,119760707.8,,119772271.2,,123258888.3,,119621955.3
9.05E-07,156391527.1,,159740798,,155739990.6,,158335237,,157698254.1
1.17E-06,209538277.8,,212719553.4,,202585431.1,,203553316.6,,207955110.1
1.50E-06,279672508.6,,282538839.6,,263272586.9,,261676248.8,,273416185.4
1.94E-06,371279202.4,,372325187.2,,339803642,,335418195,,357013454.4
2.50E-06,488859423.4,,485019364.3,,434959427.1,,426929059.5,,461433686.7
