Freq X,SS,Freq X,SF,Freq X,Nom,Freq X,FS,Freq X,FF
0.00000002,3638256.46593624,0.00000002,4157322.61703349,0.00000002,3475545.47540419,0.00000002,3023348.53457347,0.00000002,2826039.30274139
0.00000002578658,4663023.97882665,0.00000002578658,5368367.39173093,0.00000002578658,4540041.22534008,0.00000002578658,4000933.1971215,0.00000002578658,3595972.77881968
0.00000003324738,6007268.69665649,0.00000003324738,6829626.62178001,0.00000003324738,5830916.93590793,0.00000003324738,5092898.21102939,0.00000003324738,4799759.8721778
0.0000000428668,8248821.29512907,0.0000000428668,8576622.81275439,0.0000000428668,7396556.29620472,0.0000000428668,6640581.18527733,0.0000000428668,6259262.47050838
0.0000000552694,11060405.4063879,0.0000000552694,10785144.9534214,0.0000000552694,9409898.21920921,0.0000000552694,8501177.31855678,0.0000000552694,8120455.55872782
0.00000007126043,14292249.1768169,0.00000007126043,13538211.037838,0.00000007126043,11959532.6401706,0.00000007126043,10924884.8248295,0.00000007126043,10416738.6547342
0.00000009187812,18209477.5817741,0.00000009187812,17053634.7487805,0.00000009187812,15240091.9423886,0.00000009187812,14053352.0597449,0.00000009187812,13428279.623223
0.0000001184611,22962700.0584848,0.0000001184611,21547395.4386841,0.0000001184611,19497431.6553617,0.0000001184611,18098698.062396,0.0000001184611,17433184.3415126
0.0000001527353,27744466.1700838,0.0000001527353,27280305.9349461,0.0000001527353,25007293.481525,0.0000001527353,23364813.2429869,0.0000001527353,22749295.1522487
0.000000196926,35047865.8701797,0.000000196926,34614730.2770116,0.000000196926,32133615.3645369,0.000000196926,30229085.3581653,0.000000196926,29782765.7597365
0.0000002539024,44524169.0838,0.0000002539024,44062856.5573682,0.0000002539024,41412235.7537605,0.0000002539024,39239998.573162,0.0000002539024,39093920.3854286
0.0000003273637,56749754.5119746,0.0000003273637,56216184.7030956,0.0000003273637,53507925.5897551,0.0000003273637,51093510.7333125,0.0000003273637,51380663.5054245
0.0000004220795,72493522.8388544,0.0000004220795,71896745.2046289,0.0000004220795,69256196.0956966,0.0000004220795,66625430.8619922,0.0000004220795,67674999.8867888
0.0000005441992,92770689.3264759,0.0000005441992,92202329.3201099,0.0000005441992,89830166.3938137,0.0000005441992,87160676.8790814,0.0000005441992,89137269.4149651
0.0000007016517,118890386.999692,0.0000007016517,118646919.148628,0.0000007016517,116851016.817833,0.0000007016517,114299280.683599,0.0000007016517,117513503.515925
0.0000009046598,152703370.883355,0.0000009046598,152985857.486662,0.0000009046598,152253682.030708,0.0000009046598,150364228.348938,0.0000009046598,154724524.405992
0.000001166404,196170181.101978,0.000001166404,197360467.95795,0.000001166404,198464461.150798,0.000001166404,197503789.47205,0.000001166404,203699434.188174
0.000001503878,251915043.94496,0.000001503878,254382203.336432,0.000001503878,258090778.447736,0.000001503878,259008873.802899,0.000001503878,267460483.793975
0.000001938993,322485168.994159,0.000001938993,325836950.865771,0.000001938993,333700178.100402,0.000001938993,337678675.644133,0.000001938993,349954039.510741
0.0000025,410178642.605804,0.0000025,414271509.806011,0.0000025,427875633.948455,0.0000025,436347871.277312,0.0000025,455175207.849576
