Iinput,nom,C0,C1,C2,C3
0,3.7174996618022E-09,3.85564130971528E-09,3.9132256743312E-09,3.55211150067008E-09,3.78353644597583E-09
0.0000002564103,4.16579357217997E-09,4.13091687689792E-09,4.28410652317558E-09,4.08839084798157E-09,4.19499966376096E-09
0.0000005128205,4.9455631798103E-09,4.68740378603044E-09,4.914104893214E-09,4.87227819557524E-09,4.9027868824421E-09
0.0000007692308,6.04940534812421E-09,5.76323639126224E-09,5.98428824700247E-09,5.94841653021049E-09,6.00141080698569E-09
0.000001025641,7.20095601466211E-09,6.94558897756992E-09,7.15904649732306E-09,7.11621087212395E-09,7.16019323912466E-09
0.000001282051,8.35540127435628E-09,8.12240736478274E-09,8.3348219084175E-09,8.2988170982736E-09,8.32892132960551E-09
0.000001538462,9.50256039232935E-09,9.29156002661919E-09,9.50381029986734E-09,9.45925701213115E-09,9.48568496585674E-09
0.000001794872,1.06495281553665E-08,1.04570579069606E-08,1.06753558244265E-08,1.06228456258765E-08,1.06400873012287E-08
0.000002051282,1.17943302582043E-08,1.16290432443612E-08,1.1837287056485E-08,1.17916244511374E-08,1.18001064083664E-08
0.000002307692,1.29379827272365E-08,1.27904345516517E-08,1.29896790628468E-08,1.29441964194831E-08,1.29494818386957E-08
0.000002564103,1.40784498963974E-08,1.39465989992138E-08,1.41454283542708E-08,1.40931226099125E-08,1.4095299539546E-08
0.000002820513,1.52117691037168E-08,1.50962659094504E-08,1.52958447408129E-08,1.52332595732511E-08,1.52375877118036E-08
0.000003076923,1.63448724570469E-08,1.62504466953201E-08,1.64401148621939E-08,1.63717797665171E-08,1.63781278635995E-08
0.000003333333,1.7478520968068E-08,1.74009241266187E-08,1.75841698440801E-08,1.75235038558286E-08,1.75140928719589E-08
0.000003589744,1.86077686979706E-08,1.85426560011642E-08,1.87226821982869E-08,1.86517235631988E-08,1.86422799729131E-08
0.000003846154,1.97310686959968E-08,1.96885190523678E-08,1.98550309476123E-08,1.97864145640129E-08,1.97704566693051E-08
0.000004102564,2.08576518828092E-08,2.08284831796998E-08,2.098893200555E-08,2.09212115370959E-08,2.09077791367415E-08
0.000004358974,2.19743715954351E-08,2.19658645478702E-08,2.21268719296626E-08,2.20424441459507E-08,2.20331623039038E-08
0.000004615385,2.30964591490042E-08,2.30975834253625E-08,2.32563911136175E-08,2.31674003716086E-08,2.31508949663957E-08
0.000004871795,2.42162958081037E-08,2.42341713826461E-08,2.43783850102144E-08,2.43054891307695E-08,2.4280478288646E-08
0.000005128205,2.53302294727316E-08,2.5361374543148E-08,2.55055736270019E-08,2.54159752296877E-08,2.53952381329118E-08
0.000005384615,2.64469467368542E-08,2.64886130289987E-08,2.66299186031192E-08,2.65445988811224E-08,2.65167338301443E-08
0.000005641026,2.75541550822456E-08,2.76190323922869E-08,2.77459882141208E-08,2.76484807467662E-08,2.76261463678025E-08
0.000005897436,2.86655338517937E-08,2.87445003704299E-08,2.88699951208873E-08,2.87714220475677E-08,2.87480609967068E-08
0.000006153846,2.97771281361293E-08,2.98678157429371E-08,2.9978160674915E-08,2.98901696917134E-08,2.98546929156073E-08
0.000006410256,3.08832257425096E-08,3.09886712196869E-08,3.10928426188018E-08,3.09947578144636E-08,3.09678306409014E-08
0.000006666667,3.19959936578737E-08,3.21099904923166E-08,3.220636900841E-08,3.21044587180385E-08,3.20767622136214E-08
0.000006923077,3.3099486728593E-08,3.32274827283104E-08,3.33196731476568E-08,3.3223707159481E-08,3.31914443523045E-08
0.000007179487,3.42024730964583E-08,3.43427105749833E-08,3.44325047662444E-08,3.43191264968908E-08,3.42900919718757E-08
0.000007435897,3.53056660967037E-08,3.54509264583589E-08,3.55390510305159E-08,3.54284787864013E-08,3.53949124065599E-08
0.000007692308,3.64101275874587E-08,3.65715023669305E-08,3.66459790111976E-08,3.65318619018826E-08,3.65070692816976E-08
0.000007948718,3.75085258444496E-08,3.76798823260668E-08,3.77529173260311E-08,3.76375413136779E-08,3.76078427692464E-08
0.000008205128,3.86065852941824E-08,3.87961681482652E-08,3.88504088899035E-08,3.87434565841331E-08,3.87105323033254E-08
0.000008461538,3.97053707926839E-08,3.99007383634229E-08,3.99610310242082E-08,3.98326125616403E-08,3.98094807575768E-08
0.000008717949,4.08025219024658E-08,4.10129259555166E-08,4.10590221058374E-08,4.09367181655134E-08,4.09100879643594E-08
0.000008974359,4.18999808478594E-08,4.2120171474959E-08,4.21615130612683E-08,4.20222277013658E-08,4.20043079400448E-08
0.000009230769,4.29958585101242E-08,4.32282057419155E-08,4.32515188642988E-08,4.31254413540106E-08,4.30961027114931E-08
0.000009487179,4.40884126736629E-08,4.43332050434916E-08,4.43530453136815E-08,4.42306939782387E-08,4.41990401083172E-08
0.00000974359,4.51783594843117E-08,4.54340456562618E-08,4.54490314554656E-08,4.5318462685105E-08,4.52937761008511E-08
0.00001,4.62779159235639E-08,4.65370482040092E-08,4.65422885370753E-08,4.64117371638984E-08,4.63877341846215E-08
