Iin,Nom,Iin,SS,Iin,SF,Iin,FS,Iin,FF
1.06E-07,19765816.14,1.06E-07,22830309.2,1.06E-07,21989496.37,1.06E-07,17989879.72,1.06E-07,15723146.63
1.91E-07,36581591.15,1.91E-07,42380184.26,1.91E-07,39909648.48,1.91E-07,33650112.65,1.91E-07,29861225.09
2.77E-07,53100547.67,2.77E-07,62147139.14,2.77E-07,57418704.04,2.77E-07,49293842.84,2.77E-07,44333823.9
3.62E-07,69128880.94,3.62E-07,81768176.01,3.62E-07,74246942.74,3.62E-07,64631120.98,3.62E-07,58903268.21
4.48E-07,84600617.15,4.48E-07,100951017,4.48E-07,90400952.17,4.48E-07,79574654.3,4.48E-07,73399921.17
5.33E-07,99637142.12,5.33E-07,119659259,5.33E-07,105884532.3,5.33E-07,94041980.6,5.33E-07,87716371.81
6.19E-07,114105212.4,6.19E-07,137828556.8,6.19E-07,120832005.1,6.19E-07,108083997.2,6.19E-07,101802338.7
7.04E-07,128100264.3,7.04E-07,155419601,7.04E-07,135212414.1,7.04E-07,121702534.8,7.04E-07,115599422.2
7.90E-07,141674196.4,7.90E-07,172460070.7,7.90E-07,149100797.6,7.90E-07,134922580.9,7.90E-07,129110897
8.75E-07,154891477.8,8.75E-07,189024411.1,8.75E-07,162549256.5,8.75E-07,147825504.7,8.75E-07,142352682.3
9.61E-07,167789467.9,9.61E-07,205068679.8,9.61E-07,175656979.8,9.61E-07,160392360.5,9.61E-07,155275609.8
1.05E-06,180358748.4,1.05E-06,220632782.8,1.05E-06,188444192.3,1.05E-06,172660552.2,1.05E-06,167943931
1.13E-06,192670770.4,1.13E-06,235794101.6,1.13E-06,200921128.7,1.13E-06,184693598.4,1.13E-06,180346632
1.22E-06,204712591.4,1.22E-06,250605690.8,1.22E-06,213144426.2,1.22E-06,196478659.6,1.22E-06,192557744.1
1.30E-06,216550633.4,1.30E-06,264977009.5,1.30E-06,225069726.3,1.30E-06,208108430.1,1.30E-06,204558684.1
1.39E-06,228182775.8,1.39E-06,279006734.3,1.39E-06,236752459.5,1.39E-06,219461192.5,1.39E-06,216360382.3
1.47E-06,239587670.6,1.47E-06,292809214.7,1.47E-06,248212011.9,1.47E-06,230685402.5,1.47E-06,228019075.1
1.56E-06,250827927.3,1.56E-06,306280624.3,1.56E-06,259575489.8,1.56E-06,241735955.7,1.56E-06,239464363.5
1.64E-06,261863398.6,1.64E-06,319410281.5,1.64E-06,270725053.8,1.64E-06,252612243.5,1.64E-06,250737970.8
1.73E-06,272760928,1.73E-06,332360624,1.73E-06,281663030.7,1.73E-06,263331843.4,1.73E-06,261868384
1.82E-06,283543031.8,1.82E-06,345009011.2,1.82E-06,292440422.3,1.82E-06,273914869.7,1.82E-06,272831562.8
1.90E-06,294200314,1.90E-06,357491808.9,1.90E-06,303086436.1,1.90E-06,284380301.4,1.90E-06,283674391.8
1.99E-06,304659082.3,1.99E-06,369699372.4,1.99E-06,313570221,1.99E-06,294762531,1.99E-06,294400492.3
2.07E-06,315060812.5,2.07E-06,381617244.4,2.07E-06,323934712,2.07E-06,305003828.5,2.07E-06,305001932.7
2.16E-06,325333134.8,2.16E-06,393320513.2,2.16E-06,334238535.4,2.16E-06,315131171.9,2.16E-06,315500756.5
2.24E-06,335475864.6,2.24E-06,404948730.3,2.24E-06,344366726.3,2.24E-06,325128181.6,2.24E-06,325863879.6
2.33E-06,345536962.4,2.33E-06,416295968.8,2.33E-06,354333500.2,2.33E-06,335046933.7,2.33E-06,336125100.7
2.41E-06,355484609,2.41E-06,427592759.1,2.41E-06,364275318.4,2.41E-06,344847247.2,2.41E-06,346289743.7
2.50E-06,365314131.7,2.50E-06,438669019.7,2.50E-06,374084035,2.50E-06,354574897.6,2.50E-06,356364212.1
